Year,StockItemName,Size,Color,Quantity,UnitPrice,LastCostPrice,UnitMargin,PctMargin,TotalUnitPrice,LineProfit,Category
2013,"""The Gu"" red shirt XML tag t-shirt",S,White,21720,18.00,7.00,11.00,0.6111111111111111111,390960.00,238920.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",XXL,White,21684,18.00,7.50,10.50,0.5833333333333333333,390312.00,227682.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",3XS,White,20424,18.00,7.00,11.00,0.6111111111111111111,367632.00,224664.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",7XL,White,20316,18.00,8.50,9.50,0.5277777777777777777,365688.00,193002.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",XL,Black,19800,18.00,7.50,10.50,0.5833333333333333333,356400.00,207900.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",XXS,Black,19440,18.00,7.00,11.00,0.6111111111111111111,349920.00,213840.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",XXL,Black,19248,18.00,7.50,10.50,0.5833333333333333333,346464.00,202104.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",L,Black,19164,18.00,7.00,11.00,0.6111111111111111111,344952.00,210804.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",XS,Black,19092,18.00,7.00,11.00,0.6111111111111111111,343656.00,210012.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",6XL,White,19044,18.00,8.00,10.00,0.5555555555555555555,342792.00,190440.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",M,White,18816,18.00,7.00,11.00,0.6111111111111111111,338688.00,206976.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",7XL,Black,18708,18.00,8.50,9.50,0.5277777777777777777,336744.00,177726.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",M,Black,18648,18.00,7.00,11.00,0.6111111111111111111,335664.00,205128.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",4XL,White,18540,18.00,8.00,10.00,0.5555555555555555555,333720.00,185400.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",3XL,Black,18312,18.00,8.00,10.00,0.5555555555555555555,329616.00,183120.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",S,Black,18024,18.00,7.00,11.00,0.6111111111111111111,324432.00,198264.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",6XL,Black,17964,18.00,8.00,10.00,0.5555555555555555555,323352.00,179640.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",L,White,17928,18.00,7.00,11.00,0.6111111111111111111,322704.00,197208.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",XL,White,17136,18.00,7.50,10.50,0.5833333333333333333,308448.00,179928.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",5XL,Black,16764,18.00,8.00,10.00,0.5555555555555555555,301752.00,167640.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",3XS,Black,16692,18.00,7.00,11.00,0.6111111111111111111,300456.00,183612.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",3XL,White,15372,18.00,8.00,10.00,0.5555555555555555555,276696.00,153720.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",5XL,White,8940,18.00,8.00,10.00,0.5555555555555555555,160920.00,89400.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",XS,White,8448,18.00,7.00,11.00,0.6111111111111111111,152064.00,92928.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",4XL,Black,8448,18.00,8.00,10.00,0.5555555555555555555,152064.00,84480.00,Clothing
2013,"""The Gu"" red shirt XML tag t-shirt",XXS,White,8232,18.00,7.00,11.00,0.6111111111111111111,148176.00,90552.00,Clothing
2013,10 mm Anti static bubble wrap,10m,Blue,17010,26.00,17.00,9.00,0.3461538461538461538,442260.00,153090.00,Packaging
2013,10 mm Anti static bubble wrap,50m,Blue,15810,99.00,45.00,54.00,0.5454545454545454545,1565190.00,853740.00,Packaging
2013,10 mm Anti static bubble wrap,20m,Blue,15240,42.00,23.00,19.00,0.4523809523809523809,640080.00,289560.00,Packaging
2013,10 mm Double sided bubble wrap,20m,NULL,16380,30.00,14.00,16.00,0.5333333333333333333,491400.00,262080.00,Packaging
2013,10 mm Double sided bubble wrap,10m,NULL,15770,15.00,7.50,7.50,0.5000000000000000000,236550.00,118275.00,Packaging
